OS Type    Node Agent Sku            Publisher               Offer                                              Sku                                                 Version    VerificationType
---------  ------------------------  ----------------------  -------------------------------------------------  --------------------------------------------------  ---------  ------------------
linux      batch.node.centos 7       batch                   rendering-centos73                                 rendering                                           latest     verified
windows    batch.node.windows amd64  batch                   rendering-windows2016                              rendering                                           latest     verified
linux      batch.node.ubuntu 20.04   canonical               0001-com-ubuntu-server-focal                       20_04-lts                                           latest     verified
linux      batch.node.ubuntu 20.04   canonical               0001-com-ubuntu-server-focal                       20_04-lts-gen2                                      latest     verified
linux      batch.node.ubuntu 18.04   canonical               ubuntuserver                                       18.04-lts                                           latest     verified
linux      batch.node.ubuntu 18.04   canonical               ubuntuserver                                       18_04-lts-gen2                                      latest     unverified
linux      batch.node.debian 10      debian                  debian-10                                          10                                                  latest     verified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container                                   7-6                                                 latest     unverified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container                                   7-7                                                 latest     unverified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container                                   7-8                                                 latest     verified
linux      batch.node.centos 8       microsoft-azure-batch   centos-container                                   8-2                                                 latest     verified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container-rdma                              7-6                                                 latest     unverified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container-rdma                              7-7                                                 latest     unverified
linux      batch.node.centos 7       microsoft-azure-batch   centos-container-rdma                              7-8                                                 latest     verified
linux      batch.node.centos 8       microsoft-azure-batch   centos-container-rdma                              8-1                                                 latest     verified
linux      batch.node.ubuntu 20.04   microsoft-azure-batch   ubuntu-server-container                            20-04-lts                                           latest     verified
linux      batch.node.ubuntu 20.04   microsoft-azure-batch   ubuntu-server-container-rdma                       20-04-lts                                           latest     verified
windows    batch.node.windows amd64  microsoft-dsvm          dsvm-win-2019                                      server-2019                                         latest     unverified
linux      batch.node.ubuntu 18.04   microsoft-dsvm          ubuntu-1804                                        1804                                                latest     unverified
linux      batch.node.ubuntu 18.04   microsoft-dsvm          ubuntu-hpc                                         1804                                                latest     unverified
linux      batch.node.ubuntu 20.04   microsoft-dsvm          ubuntu-hpc                                         2004                                                latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2008-r2-sp1                                         latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2008-r2-sp1-smalldisk                               latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2012-datacenter                                     latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2012-datacenter-smalldisk                           latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2012-r2-datacenter                                  latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2012-r2-datacenter-smalldisk                        latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter                                     latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-gensecond                           latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-gs                                  latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-smalldisk                           latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-smalldisk-g2                        latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-with-containers                     latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2016-datacenter-with-containers-gs                  latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2019-datacenter                                     latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2019-datacenter-core                                latest     verified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2019-datacenter-core-g2                             latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      2019-datacenter-core-smalldisk                      latest     verified
